"column_name","column_type","null","key","default","extra"
Year,BIGINT,YES,,,
CustomerId,BIGINT,YES,,,
Surname,VARCHAR,YES,,,
CreditScore,BIGINT,YES,,,
Geography,VARCHAR,YES,,,
Gender,VARCHAR,YES,,,
Age,BIGINT,YES,,,
Tenure,BIGINT,YES,,,
Balance,DOUBLE,YES,,,
NumOfProducts,BIGINT,YES,,,
HasCrCard,BIGINT,YES,,,
IsActiveMember,BIGINT,YES,,,
EstimatedSalary,DOUBLE,YES,,,
Exited,BIGINT,YES,,,
